"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"BRD8",1.67546542354713e-19,0.108653662484459,0.193,0.145,5.61917593749235e-15
"DPY30",1.68600884767604e-19,-0.117670939565684,0.498,0.385,5.65453647333592e-15
"AC083798.2",1.69281619295841e-19,0.487567582036079,0.045,0.024,5.67736694794393e-15
"AC104051.2",1.71008620145245e-19,1.6802399594143,0.012,0.002,5.73528710243122e-15
"FANCC",1.71760526472977e-19,0.452495383730438,0.079,0.05,5.7605045368507e-15
"MRPS9",1.79046406059934e-19,-0.127553621763679,0.286,0.218,6.00485836643808e-15
"LSM11",1.81656216807526e-19,0.236857355592336,0.066,0.039,6.09238619929079e-15
"KRBOX4",1.85899285560581e-19,0.13241857105995,0.124,0.086,6.23469023913076e-15
"NKX2-2",1.87252962370356e-19,-2.10515431800105,0.023,0.044,6.28008985197701e-15
"UBE2J1",1.88948431561602e-19,-0.103149697362415,0.369,0.289,6.33695249771302e-15
"CYTH1",1.90854164313987e-19,-0.796007912417882,0.272,0.302,6.40086696276249e-15
"TDRP",2.00277137942437e-19,0.340053802779092,0.067,0.04,6.71689465231345e-15
"GPC2",2.04254666979555e-19,0.737564774953706,0.081,0.053,6.8502930211603e-15
"SEC22A",2.0565142442712e-19,0.128112632887818,0.119,0.083,6.89713747243676e-15
"EMG1",2.05665600510535e-19,-0.204483130723298,0.368,0.28,6.89761290992233e-15
"CCBE1",2.11109475766094e-19,0.416160224685156,0.111,0.076,7.08018959824327e-15
"GPAM",2.12832200668172e-19,0.296424101382067,0.098,0.065,7.13796634600915e-15
"LIN7B",2.13208004941649e-19,0.389174523195049,0.095,0.063,7.15057006973302e-15
"SLC1A5",2.15205469749539e-19,-0.907555038391002,0.18,0.217,7.21756104446004e-15
"LANCL3",2.19045643968075e-19,0.926811099778684,0.026,0.01,7.34635280740131e-15
"LAMTOR3",2.29075578067968e-19,-0.167564643067061,0.265,0.204,7.68273673724352e-15
"HSD17B11",2.39316506316936e-19,-0.89610496758071,0.222,0.255,8.02619698885741e-15
"ZNF10",2.43220845404448e-19,0.238832610923648,0.094,0.061,8.15714071317436e-15
"HDHD3",2.44421164731818e-19,-0.101379222705091,0.129,0.091,8.1973970227757e-15
"TTC30A",2.44464655874099e-19,0.602011880532928,0.044,0.023,8.19885562870552e-15
"ENTPD5",2.44815581958477e-19,0.145302120600331,0.095,0.062,8.2106249877234e-15
"TRIM65",2.51179894135941e-19,0.14518860677079,0.111,0.076,8.4240712895312e-15
"PITPNM1",2.57887698603018e-19,0.118412234910279,0.123,0.086,8.64903763574803e-15
"SCD5",2.59446372176758e-19,-1.20144930987319,0.201,0.144,8.70131243006412e-15
"AP000692.2",2.63033127756051e-19,0.391778516643005,0.053,0.029,8.82160503868245e-15
"AC073611.1",2.67647496182088e-19,1.219228342542,0.026,0.011,8.97636172695487e-15
"SSH3",2.6981708102882e-19,0.279025825397737,0.089,0.058,9.04912526354455e-15
"CFAP70",2.73644497270311e-19,0.776812122878068,0.028,0.011,9.17748914945168e-15
"CD1C",2.88492281898561e-19,-3.39414258278816,0.002,0.013,9.67545415031394e-15
"BRPF3",2.92272297103651e-19,0.205155154476936,0.099,0.066,9.80222830026224e-15
"N4BP3",3.02338271951012e-19,0.513522343414831,0.049,0.026,1.0139820964693e-14
"SCNN1A",3.03618541653367e-19,1.0176368585129,0.023,0.008,1.01827586499706e-14
"ZNF251",3.08641740977782e-19,0.428056309929586,0.055,0.031,1.03512267089128e-14
"ANKRD27",3.15174946911471e-19,0.122396537515405,0.136,0.097,1.05703373695169e-14
"NT5C3A",3.20341870722655e-19,-0.160753523013769,0.257,0.197,1.07436256602964e-14
"TMSB15B",3.27972237062266e-19,0.648797884411679,0.044,0.023,1.09995328865943e-14
"FAM181B",3.39665319082723e-19,-2.18662763729644,0.028,0.05,1.13916954713963e-14
"LINC02298",3.41248365729445e-19,0.770535695946251,0.021,0.007,1.14447876898341e-14
"WIPF2",3.46428296949158e-19,-0.105243160545307,0.332,0.261,1.16185122230809e-14
"RAVER2",3.46728968601627e-19,0.601640444347736,0.067,0.04,1.16285961489614e-14
"ZFP30",3.62152225489228e-19,0.340991621616308,0.071,0.043,1.21458613384577e-14
"RPL36AL",3.6488133139242e-19,-0.217974965993059,0.863,0.841,1.2237390092239e-14
"SPOCK1",3.66675121066591e-19,-2.42623362145911,0.073,0.103,1.22975502103313e-14
"GDI1",3.66914340481662e-19,-0.151390191990505,0.387,0.306,1.2305573151074e-14
"PCIF1",3.67919362370047e-19,-0.132267191372442,0.198,0.148,1.23392795751666e-14
