"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"TEX9","OK",0.00419691897620054,2.63580327524925,0.00499708525152807,"TEX9",0.00673548578340193
"AC084782.1","OK",0.453835987456595,0.115975479816239,0.000164108425612542,"AC084782.1",0.598671864824123
"AC084782.2","OK",0.423210118056033,0.193687939229125,0.000236838903064585,"AC084782.2",0.563073857784131
"MNS1","OK",1.31166468135587e-30,11.440511953526,0.0218660522860905,"MNS1",3.53375587411886e-30
"AC084782.3","OK",0.196555331720832,0.853989759511678,0.00123490641099071,"AC084782.3",0.276765191405804
"AC090518.1","FAIL",NA,NA,NA,"AC090518.1",1
"ZNF280D","OK",1.73694351013229e-41,13.4410675132679,0.0257900755265959,"ZNF280D",5.09382177037748e-41
"AC090517.4","OK",0.520886488319376,-0.0523786025993799,-0.000142698777989637,"AC090517.4",0.605471518153607
"AC010999.2","OK",0.00134475037932525,3.00116354226982,0.00508462037238188,"AC010999.2",0.00221324048718722
"TCF12","OK",9.92892242999339e-234,32.6222191207126,0.0625111853367277,"TCF12",5.05592765192754e-233
"LINC00926","OK",4.06698462173352e-188,29.2297042271582,0.0558120806475035,"LINC00926",1.91325894690958e-187
"LINC01413","OK",0.515282498319154,-0.0383169163898391,-9.51200972807595e-05,"LINC01413",0.605471518153607
"CGNL1","OK",5.94054054444744e-187,29.1379291855461,0.0559114688885935,"CGNL1",2.78840344438254e-186
"AC025271.3","FAIL",NA,NA,NA,"AC025271.3",1
"AC025271.2","OK",NA,NA,-5.44789209600159e-05,"AC025271.2",NA
"AC025271.4","OK",0.61641027994499,-0.296066312362545,-0.000573724191281524,"AC025271.4",0.634017690210292
"GCOM1","OK",0.00214972674413496,2.85531225209662,0.00475319931820521,"GCOM1",0.00350378353137186
"MYZAP","OK",3.30488386916775e-19,8.88127608313001,0.016730604096405,"MYZAP",7.86915764275859e-19
"POLR2M","OK",5.93595128798208e-18,8.55417078919019,0.0163904309750512,"POLR2M",1.38859942612414e-17
"AC090651.1","OK",0.49985471408948,0.000364177779264036,-4.3080513129655e-05,"AC090651.1",0.605471518153607
"ALDH1A2","OK",0,42.653855519249,0.0809074147927745,"ALDH1A2",0
"AC025431.1","FAIL",NA,NA,NA,"AC025431.1",1
"AQP9","OK",0,138.954604268882,0.264820779622161,"AQP9",0
"LIPC","OK",0.432599947268266,0.169758717165672,0.000259806820731123,"LIPC",0.573598856961804
"LIPC-AS1","OK",NA,NA,-5.24555758080456e-05,"LIPC-AS1",NA
"AC018904.1","OK",0.554186947083979,-0.136246892599702,-0.000259172620050854,"AC018904.1",0.605471518153607
"ADAM10","OK",6.13437718626162e-299,36.935895283788,0.0709922122214021,"ADAM10",3.40729641597423e-298
"AC090515.2","OK",0.227438515187999,0.747309050854501,0.00133185131325524,"AC090515.2",0.317783548438398
"MINDY2","OK",1.44408813882185e-267,34.9270589456474,0.067101120176194,"MINDY2",7.7020071153499e-267
"AC090515.4","FAIL",NA,NA,NA,"AC090515.4",1
"RNF111","OK",9.12329778847964e-07,4.77193327775861,0.00911549466766095,"RNF111",1.7022862096115e-06
"SLTM","OK",3.90689589925041e-49,14.6869632141882,0.0281970562235447,"SLTM",1.20167441167182e-48
"AC025918.1","OK",NA,NA,-4.09214108278752e-05,"AC025918.1",NA
"CCNB2","OK",0,266.632183577224,0.512460767557993,"CCNB2",0
"AC092757.3","OK",0.000345218375498149,3.39334874991902,0.00635176883195553,"AC092757.3",0.000584312004620356
"MYO1E","OK",5.66235100349727e-248,33.6116815549204,0.0645426860403491,"MYO1E",2.9367329093447e-247
"LDHAL6B","OK",0.547674073028858,-0.119787033252373,-0.000231330951993073,"LDHAL6B",0.605471518153607
"FAM81A","OK",0.10901563661117,1.23178000813774,0.00227122960224981,"FAM81A",0.158049472933461
"GCNT3","OK",0.605824977000773,-0.268453782172047,-0.000483470878724823,"GCNT3",0.626967661778678
"GTF2A2","OK",0,72.9965071558772,0.140345353945125,"GTF2A2",0
"BNIP2","OK",6.11768222112328e-154,26.4042809824325,0.0507316011910291,"BNIP2",2.69160932214406e-153
"AC092755.2","OK",0.491060835693828,0.0224090373657012,-4.02436850561044e-05,"AC092755.2",0.605471518153607
"FOXB1","OK",1.94300940461586e-121,23.4040549060125,0.0356484740546643,"FOXB1",7.89545301511323e-121
"AC009654.1","OK",NA,NA,-1.67298702622598e-05,"AC009654.1",NA
"ANXA2","OK",0,350.483852488503,0.674185733112425,"ANXA2",0
"ICE2","OK",5.71104178336005e-16,8.01052387817769,0.0153500907365323,"ICE2",1.29909321533592e-15
"RORA-AS1","OK",0.797623752023508,-0.833163551103152,-0.00159765499790183,"RORA-AS1",0.798828047262578
"RORA","OK",0,83.2421799640421,0.159824444978932,"RORA",0
"AC107241.1","OK",0.368495533372453,0.335840607157048,0.000542490259883702,"AC107241.1",0.496620778173879
"AC009560.1","OK",0.458604689948635,0.103949556241271,0.000143504729385012,"AC009560.1",0.604265019071892
"RORA-AS2","FAIL",NA,NA,NA,"RORA-AS2",1
"AC022898.1","OK",NA,NA,-5.84629584315331e-05,"AC022898.1",NA
"AC012404.1","FAIL",NA,NA,NA,"AC012404.1",1
"AC012404.2","OK",0.520930495070954,-0.0524890629075355,-0.000115105842964833,"AC012404.2",0.605471518153607
"AC107905.1","OK",1.1365164464872e-150,26.1180692083968,0.0361685335078022,"AC107905.1",4.96568444273816e-150
"AC104574.2","OK",0.560409914125226,-0.152008575797083,-0.000227955224457521,"AC104574.2",0.606541182642968
"AC104574.1","FAIL",NA,NA,NA,"AC104574.1",1
"AC018618.1","OK",0.51875663641837,-0.047033250014802,-9.82064834203265e-05,"AC018618.1",0.605471518153607
"LINC02349","OK",0.522819030785019,-0.057230053154797,-9.03514578646819e-05,"LINC02349",0.605471518153607
"AC009554.1","FAIL",NA,NA,NA,"AC009554.1",1
"VPS13C","OK",0,42.1179358794521,0.0809470617946648,"VPS13C",0
"AC104590.1","OK",0.0875676702292829,1.35588632097765,0.00244998361578195,"AC104590.1",0.128059334868839
"C2CD4A","OK",0.000420425859038757,3.33898477801897,0.00621684922310719,"C2CD4A",0.00070860944185429
"C2CD4B","OK",0,94.6139738310821,0.1811374379432,"C2CD4B",0
"AC126323.2","OK",0.504119775223023,-0.0103269286095497,-5.71557194389457e-05,"AC126323.2",0.605471518153607
"AC126323.3","FAIL",NA,NA,NA,"AC126323.3",1
"AC126323.6","FAIL",NA,NA,NA,"AC126323.6",1
"AC126323.5","FAIL",NA,NA,NA,"AC126323.5",1
"AC032011.1","OK",0.52173387525968,-0.0545057224909977,-0.000134846093048466,"AC032011.1",0.605471518153607
