"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"CAPN3","OK",0,54.749410994496,0.103317549320024,"CAPN3",0
"ZNF106","OK",0,51.3371801925537,0.0986370154363821,"ZNF106",0
"SNAP23","OK",4.42172031228063e-79,18.7916221629345,0.0360805500870918,"SNAP23",1.56602335522475e-78
"HAUS2","OK",0.00919130466848951,2.35781989303294,0.00448574943847891,"HAUS2",0.0144679963450913
"STARD9","OK",1.11869045859016e-68,17.4745925634587,0.0334343437456377,"STARD9",3.80176779010699e-68
"TTBK2","OK",1.57263523933607e-53,15.3577020276149,0.0294480728349711,"TTBK2",4.95807927988805e-53
"UBR1","OK",3.18344513354094e-190,29.3949753327296,0.056436161355384,"UBR1",1.50519448576314e-189
"TMEM62","OK",2.05140454888307e-11,6.6003165071647,0.0125651860519913,"TMEM62",4.31113082033905e-11
"CCNDBP1","OK",3.12109574188206e-66,17.1503994494394,0.0329273865989942,"CCNDBP1",1.04935759997171e-65
"LCMT2","OK",0.00256654339543457,2.79856103066377,0.00530053804216079,"LCMT2",0.00416590204297275
"ADAL","OK",1.72012949670026e-28,11.0094688477679,0.0210830878421731,"ADAL",4.53816036150585e-28
"ZSCAN29","OK",7.19151911208372e-07,4.81962213070006,0.00919420448132733,"ZSCAN29",1.34742756811999e-06
"TUBGCP4","OK",2.51782048593978e-07,5.02494985411455,0.00959912940747568,"TUBGCP4",4.77102564791746e-07
"TP53BP1","OK",2.70565666153306e-45,14.0749892327433,0.0269905117633285,"TP53BP1",8.11407279126739e-45
"MAP1A","OK",0,190.909906436256,0.366711454244853,"MAP1A",0
"CATSPER2","OK",0.000111351323656807,3.69176562218961,0.00700645868180013,"CATSPER2",0.000192610586336363
"PDIA3","OK",0,55.3266613688604,0.106377409459655,"PDIA3",0
"SERF2","OK",0,105.925769769975,0.203705323565249,"SERF2",0
"HYPK","OK",6.58628915379813e-09,5.68381108311953,0.0107970837013749,"HYPK",1.30268365042872e-08
"MFAP1","OK",0.000433719988301414,3.33032716200888,0.00635677044402867,"MFAP1",0.000730558758413181
"WDR76","OK",3.42584053102143e-86,19.6413756508409,0.0375029904072683,"WDR76",1.24551761755267e-85
"FRMD5","OK",0,102.441549287394,0.196166966951554,"FRMD5",0
"CASC4","OK",6.10540731782439e-311,37.6761494866026,0.0723949292839914,"CASC4",3.44896676049039e-310
"CTDSPL2","OK",6.27555632304003e-08,5.28528219342028,0.010113513796697,"CTDSPL2",1.20989500289542e-07
"EIF3J-DT","OK",3.88678538764881e-43,13.7193720745523,0.0262909661837984,"EIF3J-DT",1.15299885231348e-42
"EIF3J","OK",4.99928630042006e-235,32.7136222187899,0.062863287376427,"EIF3J",2.55033415277045e-234
"SPG11","OK",3.14780690276705e-39,13.0507121583346,0.0250315610153283,"SPG11",9.08965755426124e-39
"PATL2","OK",6.62508739259644e-143,25.425285879673,0.0478513963571741,"PATL2",2.8511516615637e-142
"B2M","OK",0,374.169992655597,0.719742263025906,"B2M",0
"TRIM69","OK",7.18104974019121e-43,13.6747901603092,0.0262299680142819,"TRIM69",2.12772469438415e-42
"AC122108.2","OK",9.77173383901566e-45,13.9839149738145,0.0232368177502359,"AC122108.2",2.9217831927192e-44
"SORD","OK",5.86896225613067e-60,16.2893978365002,0.0312149737833923,"SORD",1.91400003400219e-59
"DUOXA1","OK",2.82712489777848e-10,6.19977900661526,0.0117279567482374,"DUOXA1",5.79024215271019e-10
"DUOX1","OK",3.20276094519299e-24,10.0854740827834,0.0192457073554024,"DUOX1",8.09717075070557e-24
"SHF","OK",7.23957204451506e-179,28.4925730512283,0.0545691631333125,"SHF",3.34949803513301e-178
"GATM","OK",0,129.354200867129,0.244676692113382,"GATM",0
"SPATA5L1","OK",0.00176024448878099,2.91820846999221,0.00553125938101058,"SPATA5L1",0.0028820216033916
"C15orf48","OK",0,204.659422360735,0.390377355477894,"C15orf48",0
"AC025580.2","OK",3.65332896586003e-123,23.5729293281313,0.0389582597124871,"AC025580.2",1.49102671492014e-122
"SLC30A4","OK",1.26453277368807e-06,4.705772400043,0.00896652603082614,"SLC30A4",2.35040285329855e-06
"BLOC1S6","OK",4.71966577011103e-28,10.9181554548828,0.0209488909922337,"BLOC1S6",1.23972379534617e-27
"SQOR","OK",2.47978507299934e-311,37.7000395225639,0.0723671204553429,"SQOR",1.40209651301081e-310
"SEMA6D","OK",1.27640276741998e-262,34.5997003293155,0.0663623480207013,"SEMA6D",6.75903532680419e-262
"MYEF2","OK",2.60994582377657e-138,25.0063093566283,0.0479954709793106,"MYEF2",1.10956813010815e-137
"SLC12A1","OK",4.61715159066154e-09,5.74422482117082,0.0101964395834537,"SLC12A1",9.17171747137006e-09
"DUT","OK",0,152.279445195987,0.292832476534232,"DUT",0
"FBN1","OK",0,96.6715087727856,0.1857142491487,"FBN1",0
"CEP152","OK",6.32669398140256e-181,28.6582459460966,0.0549325359537161,"CEP152",2.93684435534499e-180
"SHC4","OK",1.26437995127892e-32,11.8364692922628,0.0225596589439719,"SHC4",3.46769265188706e-32
"EID1","OK",0,120.513147196521,0.23178522953525,"EID1",0
"SECISBP2L","OK",0,200.905900135632,0.386166880953143,"SECISBP2L",0
"COPS2","OK",6.90485048734178e-224,31.9206411676429,0.0613248233773737,"COPS2",3.46217746934428e-223
"GALK2","OK",7.5200861015484e-05,3.79040521034215,0.00723749240121508,"GALK2",0.000131095712203907
"FAM227B","OK",7.45143768081011e-06,4.33011904613165,0.00816354281295955,"FAM227B",1.34773922346799e-05
"FGF7","OK",0,54.4235490782767,0.102170944967707,"FGF7",0
"DTWD1","OK",2.23764469220202e-37,12.7217832233529,0.0244099209383632,"DTWD1",6.36592236023072e-37
"ATP8B4","OK",0,60.4378281694515,0.115850566209766,"ATP8B4",0
"AC025040.1","OK",1.8274645930912e-41,13.4373079229691,0.020340855472692,"AC025040.1",5.3586636265073e-41
